Algorithm,Level,Status,Time (s),Metric Type,Metric Value
A* (Fast Distance),Level 3,SUCCESS,0.0005,Nodes Expanded,4
A* (Fast Distance),Level 3,SUCCESS,0.0005,Solution Length,3
A* (Exact Distance),Level 3,Memory,0.0007,Max Stored Nodes,39
A* (Exact Distance),Level 3,Branching,0.0007,Avg Branching,5.25
A* (Exact Distance),Level 3,Branching,0.0007,Max Branching,8
A* (Exact Distance),Level 3,SUCCESS,0.0007,Nodes Expanded,4
A* (Exact Distance),Level 3,SUCCESS,0.0007,Solution Length,3
A* (Satisficing),Level 3,Memory,0.0005,Max Stored Nodes,39
A* (Satisficing),Level 3,Branching,0.0005,Avg Branching,5.25
A* (Satisficing),Level 3,Branching,0.0005,Max Branching,8
A* (Satisficing),Level 3,SUCCESS,0.0005,Nodes Expanded,4
A* (Satisficing),Level 3,SUCCESS,0.0005,Solution Length,3
Fast Downward,Level 3,Metrics,0.1222,Nodes Expanded,15
Fast Downward,Level 3,Branching,0.1222,Avg Branching,3.466666666666667
Fast Downward,Level 3,SUCCESS,0.1222,Solution Length,9
LAMA First,Level 3,Metrics,0.5443,Nodes Expanded,16
LAMA First,Level 3,Branching,0.5443,Avg Branching,3.4375
LAMA First,Level 3,SUCCESS,0.5443,Solution Length,9
A* (Manhattan),Level 4,Memory,0.0044,Max Stored Nodes,161
A* (Manhattan),Level 4,Branching,0.0044,Avg Branching,5.75
A* (Manhattan),Level 4,Branching,0.0044,Max Branching,10
A* (Manhattan),Level 4,SUCCESS,0.0044,Nodes Expanded,16
A* (Manhattan),Level 4,SUCCESS,0.0044,Solution Length,4
A* (Real Maze),Level 4,Memory,0.0025,Max Stored Nodes,161
A* (Real Maze),Level 4,Branching,0.0025,Avg Branching,5.75
A* (Real Maze),Level 4,Branching,0.0025,Max Branching,10
A* (Real Maze),Level 4,SUCCESS,0.0025,Nodes Expanded,16
A* (Real Maze),Level 4,SUCCESS,0.0025,Solution Length,4
A* (New Real Maze),Level 4,Memory,0.0023,Max Stored Nodes,100
A* (New Real Maze),Level 4,Branching,0.0023,Avg Branching,6.222222222222222
A* (New Real Maze),Level 4,Branching,0.0023,Max Branching,10
A* (New Real Maze),Level 4,SUCCESS,0.0023,Nodes Expanded,9
A* (New Real Maze),Level 4,SUCCESS,0.0023,Solution Length,4
A* (Hungarian),Level 4,Memory,0.0051,Max Stored Nodes,100
A* (Hungarian),Level 4,Branching,0.0051,Avg Branching,6.222222222222222
A* (Hungarian),Level 4,Branching,0.0051,Max Branching,10
A* (Hungarian),Level 4,SUCCESS,0.0051,Nodes Expanded,9
A* (Hungarian),Level 4,SUCCESS,0.0051,Solution Length,4
A* (Fast Distance),Level 4,Memory,0.0053,Max Stored Nodes,161
A* (Fast Distance),Level 4,Branching,0.0053,Avg Branching,5.75
A* (Fast Distance),Level 4,Branching,0.0053,Max Branching,10
A* (Fast Distance),Level 4,SUCCESS,0.0053,Nodes Expanded,16
