Algorithm,Level,Status,Time (s),Metric Type,Metric Value
Fast Downward,Level 19,Metrics,0.1153,Nodes Expanded,136
Fast Downward,Level 19,Branching,0.1153,Avg Branching,3.5
Fast Downward,Level 19,SUCCESS,0.1153,Solution Length,45
LAMA First,Level 19,Metrics,0.5902,Nodes Expanded,446
LAMA First,Level 19,Branching,0.5902,Avg Branching,3.57847533632287
LAMA First,Level 19,SUCCESS,0.5902,Solution Length,39
A* (Manhattan),Level 20,Memory,0.0040,Max Stored Nodes,144
A* (Manhattan),Level 20,Branching,0.0040,Avg Branching,9.666666666666666
A* (Manhattan),Level 20,Branching,0.0040,Max Branching,12
A* (Manhattan),Level 20,SUCCESS,0.0040,Nodes Expanded,9
A* (Manhattan),Level 20,SUCCESS,0.0040,Solution Length,8
A* (Real Maze),Level 20,Memory,0.0036,Max Stored Nodes,144
A* (Real Maze),Level 20,Branching,0.0036,Avg Branching,9.666666666666666
A* (Real Maze),Level 20,Branching,0.0036,Max Branching,12
A* (Real Maze),Level 20,SUCCESS,0.0036,Nodes Expanded,9
A* (Real Maze),Level 20,SUCCESS,0.0036,Solution Length,8
A* (New Real Maze),Level 20,Memory,0.0104,Max Stored Nodes,144
A* (New Real Maze),Level 20,Branching,0.0104,Avg Branching,9.666666666666666
A* (New Real Maze),Level 20,Branching,0.0104,Max Branching,12
A* (New Real Maze),Level 20,SUCCESS,0.0104,Nodes Expanded,9
A* (New Real Maze),Level 20,SUCCESS,0.0104,Solution Length,8
A* (Hungarian),Level 20,Memory,0.0124,Max Stored Nodes,144
A* (Hungarian),Level 20,Branching,0.0124,Avg Branching,9.666666666666666
A* (Hungarian),Level 20,Branching,0.0124,Max Branching,12
A* (Hungarian),Level 20,SUCCESS,0.0124,Nodes Expanded,9
A* (Hungarian),Level 20,SUCCESS,0.0124,Solution Length,8
A* (Fast Distance),Level 20,Memory,0.0078,Max Stored Nodes,144
A* (Fast Distance),Level 20,Branching,0.0078,Avg Branching,9.666666666666666
A* (Fast Distance),Level 20,Branching,0.0078,Max Branching,12
A* (Fast Distance),Level 20,SUCCESS,0.0078,Nodes Expanded,9
A* (Fast Distance),Level 20,SUCCESS,0.0078,Solution Length,8
A* (Exact Distance),Level 20,Memory,0.0072,Max Stored Nodes,144
A* (Exact Distance),Level 20,Branching,0.0072,Avg Branching,9.666666666666666
A* (Exact Distance),Level 20,Branching,0.0072,Max Branching,12
A* (Exact Distance),Level 20,SUCCESS,0.0072,Nodes Expanded,9
A* (Exact Distance),Level 20,SUCCESS,0.0072,Solution Length,8
A* (Satisficing),Level 20,Memory,0.0062,Max Stored Nodes,144
A* (Satisficing),Level 20,Branching,0.0062,Avg Branching,9.666666666666666
A* (Satisficing),Level 20,Branching,0.0062,Max Branching,12
A* (Satisficing),Level 20,SUCCESS,0.0062,Nodes Expanded,9
A* (Satisficing),Level 20,SUCCESS,0.0062,Solution Length,8
Fast Downward,Level 20,Metrics,0.1161,Nodes Expanded,76
Fast Downward,Level 20,Branching,0.1161,Avg Branching,3.789473684210526
Fast Downward,Level 20,SUCCESS,0.1161,Solution Length,26
LAMA First,Level 20,Metrics,0.6106,Nodes Expanded,2020
LAMA First,Level 20,Branching,0.6106,Avg Branching,3.6693069306930695
LAMA First,Level 20,SUCCESS,0.6106,Solution Length,29
A* (Manhattan),Level 21,Memory,0.0827,Max Stored Nodes,528
A* (Manhattan),Level 21,Branching,0.0827,Avg Branching,6.804395604395604
A* (Manhattan),Level 21,Branching,0.0827,Max Branching,11
A* (Manhattan),Level 21,FAILED,0.0827,Nodes Expanded,455
A* (Real Maze),Level 21,Memory,0.0777,Max Stored Nodes,528
A* (Real Maze),Level 21,Branching,0.0777,Avg Branching,6.804395604395604
A* (Real Maze),Level 21,Branching,0.0777,Max Branching,11
A* (Real Maze),Level 21,FAILED,0.0777,Nodes Expanded,455
A* (New Real Maze),Level 21,Memory,0.0003,Max Stored Nodes,2
A* (New Real Maze),Level 21,Branching,0.0003,Avg Branching,6.0
A* (New Real Maze),Level 21,Branching,0.0003,Max Branching,6
A* (New Real Maze),Level 21,FAILED,0.0003,Nodes Expanded,1
A* (Hungarian),Level 21,Memory,0.0798,Max Stored Nodes,546
A* (Hungarian),Level 21,Branching,0.0798,Avg Branching,6.804395604395604
A* (Hungarian),Level 21,Branching,0.0798,Max Branching,11
A* (Hungarian),Level 21,FAILED,0.0798,Nodes Expanded,455
A* (Fast Distance),Level 21,Memory,0.0776,Max Stored Nodes,528
A* (Fast Distance),Level 21,Branching,0.0776,Avg Branching,6.804395604395604
A* (Fast Distance),Level 21,Branching,0.0776,Max Branching,11
A* (Fast Distance),Level 21,FAILED,0.0776,Nodes Expanded,455
A* (Exact Distance),Level 21,Memory,0.0003,Max Stored Nodes,2
A* (Exact Distance),Level 21,Branching,0.0003,Avg Branching,6.0
A* (Exact Distance),Level 21,Branching,0.0003,Max Branching,6
A* (Exact Distance),Level 21,FAILED,0.0003,Nodes Expanded,1
A* (Satisficing),Level 21,Memory,0.0003,Max Stored Nodes,2
A* (Satisficing),Level 21,Branching,0.0003,Avg Branching,6.0
A* (Satisficing),Level 21,Branching,0.0003,Max Branching,6
A* (Satisficing),Level 21,FAILED,0.0003,Nodes Expanded,1
Fast Downward,Level 21,Metrics,0.1178,Nodes Expanded,993
Fast Downward,Level 21,Branching,0.1178,Avg Branching,3.599194360523666
Fast Downward,Level 21,SUCCESS,0.1178,Solution Length,41
LAMA First,Level 21,Metrics,0.5796,Nodes Expanded,2085
LAMA First,Level 21,Branching,0.5796,Avg Branching,3.627817745803357
LAMA First,Level 21,SUCCESS,0.5796,Solution Length,41
